0.003162	470
0.027931	2576
0.056186	4661
0.086821	6428
0.120064	9757
0.148428	11555
0.177474	13423
0.207024	15398
0.236507	17141
0.266576	19257
0.281914	21413
0.297237	23104
0.315168	25282
0.342403	27216
0.358852	30248
0.389890	32755
0.419105	34753
0.450934	36633
0.481588	38619
0.510475	39287
0.542405	41295
0.574108	43442
0.604354	45557
0.632967	47549
0.661062	49774
0.678807	57008
0.706770	59018
0.722139	60403
0.737439	61437
0.752229	63442
0.768416	64847
0.797463	66733
0.813240	69172
0.842600	71219
0.858028	73120
0.873476	76011
0.889373	80604
0.905970	82572
0.934000	84432
0.950539	86586
0.980637	88601
1.010859	90680
1.041013	92911
1.071610	94970
1.101206	97727
1.116619	99932
1.130847	102010
1.146150	104262
1.161770	106292
1.176993	109050
1.191938	111476
1.208036	113598
1.239727	115672
1.268843	117696
1.298470	119850
1.315443	121926
1.343564	124203
1.358690	126378
1.374084	128819
1.388778	131436
1.404052	133377
1.419832	135596
1.435266	137588
1.450529	139817
1.465401	141560
1.480745	143715
1.495746	145907
1.510779	148028
1.525764	150132
1.541442	152181
1.556468	154304
1.571046	156680
1.586950	158661
1.602732	160404
1.633361	161207
1.651181	163059
1.679914	165181
1.708822	166127
1.724507	168298
1.740265	170842
1.769704	172956
1.785068	175394
1.800416	177114
1.817133	179025
1.847091	181783
1.878082	183774
1.907920	185777
1.924361	187466
1.953525	188648
1.968621	190725
1.983686	192761
1.999155	194851
2.013899	196925
2.029113	199251
2.044720	201558
2.059554	203510
2.075062	206293
2.105306	208387
2.135820	210455
2.165061	212277
2.179772	214339
2.195168	216396
2.210456	218272
2.225071	220401
2.239875	222322
2.254987	224397
2.270084	226334
2.285787	228503
2.301132	230546
2.318671	232464
2.346954	234484
2.376667	236601
2.406577	238597
2.421805	240630
2.436757	242681
2.451970	244707
2.467163	247100
2.482330	249078
2.497202	252081
2.512243	252383
2.527331	254980
2.542701	256659
2.558592	258888
2.573725	260842
2.589611	262839
2.604494	264904
2.619657	268208
2.634777	270306
2.650244	272281
2.664832	274257
2.680197	276131
2.695469	277971
2.711043	279961
2.726277	281858
2.741323	283928
2.756741	285493
2.772113	287506
2.786570	289488
2.801602	291481
2.817328	293577
2.831983	295559
2.846682	297663
2.861943	299618
2.876895	301583
2.893262	303803
2.908867	305781
2.923977	307963
2.939145	310029
2.954516	311982
2.970196	313942
2.993093	315710
3.017222	317737
3.047137	319859
3.076903	321987
3.092816	324007
3.123408	326613
3.140114	328620
3.167686	330647
