0.002599	59
0.029572	120
0.045493	224
0.062248	285
0.091384	425
0.107502	484
0.122311	551
0.138967	693
0.155138	758
0.170767	822
0.187046	1874
0.202287	1933
0.232847	2002
0.248801	2072
0.263745	2136
0.280629	2195
0.296237	2257
0.312413	2381
0.342275	2552
0.373507	2629
0.389609	2713
0.420916	2813
0.451455	2879
0.481806	2949
0.497375	3172
0.513066	3243
0.529533	3303
0.544006	3365
0.559242	3425
0.575676	3488
0.591751	3554
0.606993	3635
0.622429	3722
0.638431	3809
0.654834	3910
0.670556	3973
0.699405	4048
0.714712	4155
0.730539	4368
0.746046	4433
0.761237	4494
0.776496	4555
0.793735	4638
0.824626	4697
0.839434	4762
0.854730	4832
0.870594	4900
0.886060	4969
0.901373	5082
0.916833	5145
0.932528	5205
0.948390	6010
0.963207	6084
0.979396	6255
0.994693	6317
1.010642	6396
1.026836	6464
1.042787	6799
1.058346	7007
1.073979	7082
1.089460	7144
1.105867	7271
1.121678	7372
1.137168	7432
1.152247	7497
1.168238	7557
1.183262	7623
1.198745	7692
1.215279	7783
1.230106	7916
1.246253	7977
1.261546	8040
1.277077	8102
1.293182	8161
1.309371	8224
1.325231	8289
1.341139	8351
1.356829	8415
1.373087	8489
1.389313	8554
1.405892	8737
1.422199	8801
1.452350	8860
1.482579	8922
1.498400	9166
1.513861	9231
1.529359	9293
1.544911	9441
1.560443	9533
1.575379	9606
1.591363	9682
1.607379	9748
1.622528	9808
1.638544	9867
1.654454	9998
1.669829	10077
1.688475	19379
1.716643	19440
1.731824	19602
1.748592	19668
1.778189	19733
1.794294	19799
1.809859	19892
1.825792	19968
1.841190	20072
1.857413	20133
1.872587	20205
1.888234	20300
1.903406	20361
1.918824	20518
1.934327	20599
1.949561	20693
1.965917	20951
1.981513	21011
1.997412	21164
2.012318	21248
2.028246	21331
2.043828	21404
2.060287	24385
2.076160	24444
2.093014	24505
2.121518	24593
2.137717	24673
2.153756	24769
2.183967	24828
2.201318	24896
2.230444	24956
2.259851	25061
2.275217	25125
2.290490	25197
2.306399	25266
2.322190	25326
2.338669	25388
2.353989	25705
2.369440	25769
2.384692	25868
2.400456	26054
2.416572	26122
2.434501	26212
2.463083	26290
2.478141	26350
2.493472	26440
2.509866	26508
2.525394	26570
2.541298	26637
2.557311	26700
2.573046	26796
2.588036	26896
2.604719	26970
2.620530	27051
2.636307	27286
2.652257	27347
2.667305	27419
2.683399	27548
2.698444	27638
2.714508	27893
2.728953	27981
2.745762	28058
2.760033	28149
2.775878	28217
2.791006	28278
2.807216	28378
2.822936	28443
2.839134	28523
2.854627	28617
2.870017	28695
2.885783	28774
2.901268	28854
2.917363	28958
2.933387	29076
2.948350	29147
2.963229	29621
2.979404	30008
2.995472	30069
3.011331	30171
3.026638	30242
3.042302	30314
3.057045	30389
3.072359	30716
3.087682	30775
3.103326	30845
3.118326	30913
3.134133	31012
3.149481	31078
3.165633	31180
3.181217	31247
3.196852	31308
3.212955	32001
3.228747	32075
3.244602	32156
3.260149	32248
3.275369	32324
3.290738	32393
3.327791	86140
3.353263	86280
3.368834	86340
3.384603	86417
3.399875	86502
3.415456	86580
3.431266	86716
3.446369	86779
3.461515	86839
3.476985	86899
3.492103	87012
3.508163	87073
3.524279	87395
3.540080	87489
3.555550	87628
3.571720	87687
3.587280	87765
3.604972	100701
3.619820	100771
3.635215	100879
3.651404	100952
3.666066	101017
3.681734	101082
3.697781	101148
3.713043	101210
3.728753	101295
3.743688	101432
3.759872	101495
3.775431	101561
3.791885	101626
3.807544	101685
3.822166	101777
3.838107	101836
3.853818	101915
3.868870	102001
3.884170	102062
3.899782	102125
3.914978	102187
3.931207	102256
3.947128	102429
3.962910	102497
3.978235	102587
3.993582	102688
4.008926	102813
4.024513	102873
4.039855	102975
4.055881	103051
4.071974	103113
4.087556	103232
4.103461	103317
4.119063	103478
4.134485	103589
4.149818	103677
4.165458	103817
4.181295	103896
4.196205	103959
4.212094	104050
4.227777	104139
4.243134	104206
4.258246	104330
4.273299	104594
4.289570	104720
4.305931	104821
4.321819	105400
4.336303	105573
4.351502	105642
4.366836	108645
4.381909	108724
4.397190	108787
4.413352	108849
4.429278	108938
4.445368	109003
4.460724	109096
4.476678	109172
4.491668	109233
4.507126	109292
4.522674	109395
4.538771	109656
4.554357	109726
4.571098	109954
4.586665	110041
4.602244	110100
4.617752	110171
4.633174	110306
4.649294	110369
4.665491	110437
4.680885	110499
4.695760	110637
4.711706	110707
4.726834	110785
4.743075	110992
4.758711	111062
4.774070	111219
4.789538	111289
4.805907	111369
4.821314	111466
4.837155	111612
4.853540	111674
4.868827	111733
4.884056	111873
4.899123	111945
4.914723	112038
4.930786	112228
4.947000	112359
4.962840	113712
4.977632	113780
4.993832	113840
5.008888	113902
5.025063	113964
5.040375	114034
5.055731	114096
5.071128	114193
5.086637	114256
5.101963	114362
5.118157	114438
5.134083	114687
5.149105	114761
5.164714	114957
5.179949	115031
5.195385	115162
5.211159	115369
5.226628	115440
5.242779	115511
5.257930	115580
5.273950	115641
5.288408	115839
5.303717	116008
5.319887	116073
5.335243	116187
5.351597	116251
5.366823	116320
5.382906	116387
5.398720	116450
5.414592	116653
5.430467	116922
5.446283	116981
5.462075	117045
5.478085	117126
5.493289	117421
5.509295	117486
5.525333	117554
5.542405	117618
5.557392	117684
5.572740	117780
5.588738	117841
5.604958	118084
5.621142	118168
5.636410	118247
5.651682	118313
5.667470	118375
5.683267	118472
5.698414	118563
5.714664	118640
5.730100	122342
5.745898	122426
5.761406	122513
5.776655	122610
5.792443	122686
